name	Other_DHS_1_obs_exp	Other_DHS_2_obs_exp	Other_DHS_3_obs_exp	Other_DHS_4_obs_exp	Other_DHS_5_obs_exp	APOBEC_DHS_1_obs_exp	APOBEC_DHS_2_obs_exp	APOBEC_DHS_3_obs_exp	APOBEC_DHS_4_obs_exp	APOBEC_DHS_5_obs_exp	Other_Rep_1_obs_exp	Other_Rep_2_obs_exp	Other_Rep_3_obs_exp	Other_Rep_4_obs_exp	Other_Rep_5_obs_exp	APOBEC_Rep_1_obs_exp	APOBEC_Rep_2_obs_exp	APOBEC_Rep_3_obs_exp	APOBEC_Rep_4_obs_exp	APOBEC_Rep_5_obs_exp	Other_XPD_1_obs_exp	Other_XPD_2_obs_exp	Other_XPD_3_obs_exp	Other_XPD_4_obs_exp	Other_XPD_5_obs_exp	APOBEC_XPD_1_obs_exp	APOBEC_XPD_2_obs_exp	APOBEC_XPD_3_obs_exp	APOBEC_XPD_4_obs_exp	APOBEC_XPD_5_obs_exp	Other_XR_1_obs_exp	Other_XR_2_obs_exp	Other_XR_3_obs_exp	Other_XR_4_obs_exp	Other_XR_5_obs_exp	APOBEC_XR_1_obs_exp	APOBEC_XR_2_obs_exp	APOBEC_XR_3_obs_exp	APOBEC_XR_4_obs_exp	APOBEC_XR_5_obs_exp	Other_CBS_log_obs_exp	Other_Flank_log_obs_exp	APOBEC_CBS_log_obs_exp	APOBEC_log_Flank_obs_exp	Other_Coding_exon_obs_exp	Other_Intron_obs_exp	Other_3_UTR_obs_exp	Other_5_UTR_obs_exp	Other_Intergenic_obs_exp	APOBEC_Coding_exon_obs_exp	APOBEC_Intron_obs_exp	APOBEC_3_UTR_obs_exp	APOBEC_5_UTR_obs_exp	APOBEC_Intergenic_obs_exp	Other_Open_obs_exp	Other_Close_obs_exp	APOBEC_Open_obs_exp	APOBEC_Close_obs_exp
TCGA-DK-A1A7	-0.0701166	0.0876122	0.0198727	0.0943442	0.0446319	-0.0880032	0.117469	-0.0938098	-0.016693	0.0687671	0.168231	0.00446544	-0.0360465	-0.07735	-0.0012427	-0.00528561	-0.115568	-0.0761145	0.0590229	0.174381	0.0845269	0.102228	-0.0204956	0.0156974	0.00384686	-0.0326646	-0.0328211	-0.134618	0.104323	0.0746424	-0.185422	0.0845814	0.0515113	0.101744	0.101744	-0.242127	-0.20558	0.0677213	0.00517	0.293771	3.16216	0.2376	2.51833	0.926121	-0.179075	0.0472731	-0.0475248	0.244948	-0.0386834	0.107045	0.0788421	0.116737	1.06057	-0.0879036	0.0417336	0.0823892	0.198909	-0.0354121
TCGA-DK-A1AA	0.204103	0.127501	0.0349059	-0.016137	-0.251647	-0.00181027	-0.0161662	0.139496	0.0476082	-0.267356	1.06968	0.224473	-0.298896	-0.855528	-1.18979	0.59621	0.172231	-0.191251	-0.399502	-0.387183	0.384149	0.291297	0.0665921	-0.191435	-0.522951	0.142766	0.177994	-0.175217	-0.0627581	-0.181979	0.351617	0.361499	0.0431765	-0.142616	-0.661449	0.145404	0.157936	0.0334829	-0.145186	-0.312335	-0.672048	-0.516081	1.39593	-0.0466707	-0.939717	-0.425232	-0.961662	-1.91647	0.316308	-0.16917	-0.159828	-0.376493	0.678072	0.136769	-0.880405	0.429932	-0.355664	0.248936
TCGA-DK-A1AE	-0.0332447	0.183531	0.144216	-0.00639374	-0.286726	-0.0155871	0.040177	0.164117	0.0157116	-0.0170856	1.13269	0.0568193	-0.465709	-0.746117	-0.817618	0.332462	-0.029432	-0.085033	-0.104567	-0.10277	0.3606	0.279626	0.0238089	-0.19759	-0.49043	0.217752	-0.0956169	0.0507315	-0.0138643	0.0243339	0.212769	0.257324	0.0866751	-0.0209419	-0.597171	0.0102213	0.173793	0.0611955	-0.101787	0.0376915	-1.78241	-0.366189	0.212009	-0.00467179	-0.85286	-0.31589	-1.10282	-1.8504	0.252973	0.0967881	-0.0913162	0.253856	0.277533	0.0683406	-0.645268	0.296628	-0.0866422	0.119728
TCGA-DK-A1AG	0.00712372	-0.00958675	0.153753	-0.013592	-0.135762	0.0346665	-0.00346229	0.113887	0.0915712	0.125215	0.679856	0.165687	-0.245581	-0.300121	-0.456403	-0.17742	-0.155764	-0.130497	0.188566	0.239642	0.217591	0.183518	-0.0585736	-0.10437	-0.184695	0.0752999	-0.0835065	-0.0265562	0.136677	0.24156	0.150131	0.0992952	0.16043	-0.068258	-0.334647	-0.072724	0.0777625	0.0940063	0.0760254	0.181281	-0.823749	-0.267349	-1.33914	0.232722	-0.326986	-0.127278	-0.303342	-0.933573	0.128056	0.253082	0.0497423	-0.134335	0.746347	-0.0469643	-0.385326	0.264308	0.178122	-0.0345223
TCGA-DK-A3IL	-0.027006	0.0597706	0.00917516	-0.0412226	-0.24184	0.0609881	0.0321855	0.0152264	0.0891184	-0.0824766	0.658216	0.199776	-0.20712	-0.370607	-0.479048	0.567419	0.136834	-0.214742	-0.259211	-0.365024	0.139941	0.0912327	-0.10383	-0.145562	-0.195082	0.325881	0.0787328	0.0486547	-0.136596	-0.227602	0.128175	0.111138	0.0340185	-0.187475	-0.336422	0.092018	0.234575	-0.00965501	0.0501325	-0.293242	-0.402359	-0.357267	0.395929	0.0328343	-0.411426	-0.217291	-0.733855	-0.316532	0.181217	0.110497	-0.0832115	-0.387731	-1.33343	0.103598	-0.504538	0.190438	-0.356563	0.174854
TCGA-FD-A3N5	0.0456806	0.110657	0.0831657	0.0190044	0.0521237	-0.0214954	-0.0404672	-0.00491352	0.188274	0.0601166	0.330065	0.032919	-0.0967133	-0.107105	-0.160416	0.310759	-0.072419	-0.107325	-0.0908122	-0.0329347	0.231371	0.131748	0.018449	0.0369745	-0.121593	0.171258	0.102685	-0.0416309	-0.0328181	-0.00775364	-0.111372	0.102779	0.146499	0.0862403	0.0742451	-0.0871034	0.205217	-0.0887778	0.0284701	0.110283	2.74723	0.321928	2.14909	0.116697	-0.134894	-0.0237478	-0.179647	-0.0184659	0.0275504	-0.155685	-0.000269809	-0.392711	1.22382	-0.0012297	-0.0592499	0.101825	-0.00956206	0.0383519
TCGA-FD-A3N6	-0.0599521	0.136703	-0.0319373	-0.00977702	-0.406287	0.00324242	0.0403594	-0.107177	-0.0295071	-0.110013	1.00992	0.145247	-0.25446	-0.569043	-0.882387	0.557944	0.0280033	-0.118536	-0.292975	-0.288304	0.24625	0.257771	-0.0867678	-0.267934	-0.482742	0.0448977	0.066537	-0.0664969	-0.0639821	-0.183558	0.166368	0.214821	0.0206124	-0.196123	-0.601433	0.0461977	0.02561	0.0480687	-0.0964804	-0.239425	-0.568843	-0.562014	-1.1375	-0.524473	-0.454298	-0.320737	-0.85395	-0.987926	0.246712	-0.409255	-0.134328	-0.304232	0.532347	0.110337	-0.701802	0.220503	-0.278645	0.129296
TCGA-FT-A3EE	-0.00813952	0.0589953	-0.0170593	0.0898371	-0.00228271	-0.0302877	-0.0573481	-0.0186938	0.0778446	0.180301	0.351289	-0.0079074	-0.0776834	-0.116609	-0.1301	0.0143124	-0.0768128	-0.0678874	-0.128185	0.285497	0.109441	0.00642011	0.089471	0.00475306	-0.0809803	-0.245887	0.101139	-0.0877855	0.17779	0.161668	0.0212523	0.0596875	0.12409	-0.0566607	-0.0262256	0.0791016	-0.0362536	-0.0922294	-0.0859836	0.270947	3.35174	0.294135	3.00526	0.370041	-0.284191	-0.071012	-0.216466	0.0193603	0.0554595	0.0957759	0.0323266	0.0307881	1.52376	-0.0306929	-0.0803152	0.124553	0.098433	-0.0357019
TCGA-GD-A2C5	0.0778719	0.237649	0.0186484	0.0176227	-0.214965	0.0194884	0.0582334	-0.0113509	0.0283287	0.0604763	1.08105	0.191108	-0.459989	-0.716436	-0.893293	0.0513303	-0.0932618	-0.11718	-0.0490763	0.25388	0.475635	0.36464	-0.146737	-0.256999	-0.38197	-0.0443405	-0.0182116	-0.109295	0.1338	0.172808	0.368992	0.257711	0.0799344	-0.107729	-0.555859	-0.097928	0.0613476	0.136611	0.000144262	0.0450655	-1.23573	-0.296747	0.687079	0.038689	-0.577293	-0.321614	-0.856468	-0.471417	0.252852	0.292499	0.0334688	0.242438	0.858999	-0.0343583	-0.731458	0.31371	0.0901353	0.0294175
TCGA-H4-A2HQ	0.103155	0.124857	0.10384	-0.045695	-0.270398	0.00478181	0.0537647	0.0432045	0.0332856	0.0336802	1.02169	0.304943	-0.343311	-0.846109	-1.11478	0.183035	-0.0384848	-0.0998114	-0.074113	0.0803848	0.388564	0.231322	-0.00429118	-0.225713	-0.452144	0.0716391	0.0103645	-0.0363439	0.0298133	0.09149	0.287342	0.237319	0.0734227	-0.0816626	-0.602307	0.00419215	0.107045	0.054001	-0.0496346	0.0488221	0.556395	-0.514435	0.116019	-0.0315214	-0.897251	-0.321311	-0.747776	-0.506554	0.24817	0.0199154	-0.00358377	-0.139326	0.683939	-0.00225381	-0.870696	0.456543	-0.0104424	0.108424
